L	1.593528e+01	3.960253e+00	4.251188e+00	2.934751e+00	1.597744e+01	4.000940e+00	1.583747e+01	3.957185e+00	4.005707e+00	2.988174e+00	1.879108e-01	6.545463e-02	9.816838e-02	1.521613e-01	3.384908e-01	-1.221504e+00	1.500559e+00	5.000000e-02
R	1.613373e+01	4.111412e+00	4.129159e+00	2.979686e+00	1.633755e+01	4.216325e+00	1.603628e+01	4.108544e+00	3.942506e+00	3.062895e+00	1.986371e+00	6.607390e-02	9.739908e-02	1.527601e-01	3.359970e-01	-1.264014e+00	1.494422e+00	5.000000e-02
L	1.633110e+01	4.313531e+00	4.052558e+00	3.136171e+00	1.633127e+01	4.444992e+00	1.623188e+01	4.263631e+00	3.877162e+00	3.137226e+00	1.069711e+00	6.670863e-02	9.684493e-02	1.531337e-01	3.334024e-01	-1.306882e+00	1.486621e+00	5.000000e-02
R	1.654230e+01	4.472782e+00	4.019049e+00	3.204764e+00	1.675865e+01	4.482307e+00	1.642415e+01	4.422425e+00	3.809664e+00	3.211085e+00	5.314985e-01	6.777994e-02	9.630813e-02	1.541392e-01	3.308679e-01	-1.349959e+00	1.477180e+00	5.000000e-02
L	1.671829e+01	4.650662e+00	3.926582e+00	3.296725e+00	1.660391e+01	4.673437e+00	1.661299e+01	4.584899e+00	3.740002e+00	3.284385e+00	7.401087e-01	6.849132e-02	9.592376e-02	1.546734e-01	3.283929e-01	-1.393242e+00	1.465998e+00	5.000000e-02
R	1.687744e+01	4.823278e+00	3.716928e+00	3.323741e+00	1.692356e+01	5.101187e+00	1.679829e+01	4.751025e+00	3.668167e+00	3.357042e+00	5.023060e+00	6.865999e-02	9.561812e-02	1.536457e-01	3.259943e-01	-1.436696e+00	1.453142e+00	5.000000e-02
L	1.704227e+01	5.054870e+00	3.604338e+00	3.499637e+00	1.699546e+01	5.210994e+00	1.697995e+01	4.920767e+00	3.594156e+00	3.428969e+00	1.664138e+00	6.857235e-02	9.628580e-02	1.525332e-01	3.237352e-01	-1.480222e+00	1.438537e+00	5.000000e-02
R	1.721412e+01	5.215712e+00	3.510743e+00	3.524989e+00	1.734207e+01	4.646234e+00	1.715785e+01	5.094087e+00	3.517967e+00	3.500079e+00	1.515512e+00	6.841215e-02	9.669454e-02	1.514423e-01	3.214283e-01	-1.523781e+00	1.422200e+00	5.000000e-02
L	1.737017e+01	5.409126e+00	3.412615e+00	3.615277e+00	1.728942e+01	5.435416e+00	1.733188e+01	5.270941e+00	3.439602e+00	3.570283e+00	4.020801e-01	6.808045e-02	9.740171e-02	1.504061e-01	3.192014e-01	-1.567302e+00	1.404080e+00	5.000000e-02
R	1.752825e+01	5.569014e+00	3.305879e+00	3.622280e+00	1.764626e+01	4.745974e+00	1.750193e+01	5.451283e+00	3.359066e+00	3.639494e+00	2.959796e+00	6.767715e-02	9.771303e-02	1.494894e-01	3.169834e-01	-1.610718e+00	1.384220e+00	5.000000e-02
L	1.771228e+01	5.712871e+00	3.281225e+00	3.618170e+00	1.778529e+01	5.624759e+00	1.766791e+01	5.635059e+00	3.276367e+00	3.707622e+00	8.006383e-01	6.741236e-02	9.746787e-02	1.484631e-01	3.149789e-01	-1.653981e+00	1.362562e+00	5.000000e-02
R	1.786013e+01	5.897407e+00	3.149332e+00	3.655258e+00	1.792164e+01	6.071508e+00	1.782969e+01	5.822214e+00	3.191515e+00	3.774579e+00	1.218378e+00	6.704875e-02	9.720089e-02	1.475380e-01	3.131508e-01	-1.697040e+00	1.339140e+00	5.000000e-02
L	1.802997e+01	6.100730e+00	3.094338e+00	3.747977e+00	1.812629e+01	6.169846e+00	1.798717e+01	6.012686e+00	3.104526e+00	3.840274e+00	7.447415e-01	6.678334e-02	9.708448e-02	1.465559e-01	3.112386e-01	-1.739778e+00	1.313901e+00	5.000000e-02
R	1.818229e+01	6.301233e+00	3.015576e+00	3.824412e+00	1.812452e+01	6.790266e+00	1.814025e+01	6.206410e+00	3.015416e+00	3.904620e+00	8.483566e-01	6.651756e-02	9.705507e-02	1.455885e-01	3.093211e-01	-1.782203e+00	1.286917e+00	5.000000e-02
L	1.830451e+01	6.544284e+00	2.882548e+00	3.966529e+00	1.821643e+01	6.661379e+00	1.828881e+01	6.403317e+00	2.924208e+00	3.967526e+00	1.320914e+00	6.610844e-02	9.775187e-02	1.447179e-01	3.073059e-01	-1.824160e+00	1.258121e+00	5.000000e-02
R	1.843956e+01	6.749581e+00	2.773674e+00	4.022145e+00	1.840223e+01	7.022312e+00	1.843277e+01	6.603332e+00	2.830926e+00	4.028904e+00	4.112708e-01	6.568780e-02	9.852481e-02	1.439333e-01	3.053306e-01	-1.865640e+00	1.227560e+00	5.000000e-02
L	1.857939e+01	6.901998e+00	2.717157e+00	3.991281e+00	1.854218e+01	6.760131e+00	1.857200e+01	6.806376e+00	2.735598e+00	4.088665e+00	1.265601e+00	6.527603e-02	9.848861e-02	1.430345e-01	3.035898e-01	-1.906557e+00	1.195221e+00	5.000000e-02
R	1.872813e+01	7.108235e+00	2.683913e+00	4.070362e+00	1.880892e+01	7.243876e+00	1.870641e+01	7.012367e+00	2.638255e+00	4.146722e+00	6.019128e-01	6.491223e-02	9.845628e-02	1.422293e-01	3.018072e-01	-1.946864e+00	1.161137e+00	5.000000e-02
L	1.891442e+01	7.264462e+00	2.704700e+00	4.038886e+00	1.914412e+01	7.183445e+00	1.883591e+01	7.221216e+00	2.538932e+00	4.202987e+00	3.364975e+00	6.509745e-02	9.796455e-02	1.425437e-01	3.004921e-01	-1.986456e+00	1.125307e+00	5.000000e-02
R	1.900772e+01	7.458520e+00	2.525772e+00	4.036363e+00	1.854795e+01	7.401204e+00	1.896038e+01	7.432831e+00	2.437668e+00	4.257374e+00	3.997903e+00	6.491013e-02	9.740670e-02	1.420055e-01	2.996498e-01	-2.025280e+00	1.087732e+00	5.000000e-02
L	1.910140e+01	7.722590e+00	2.380184e+00	4.185929e+00	1.901375e+01	7.868800e+00	1.907975e+01	7.647117e+00	2.334504e+00	4.309797e+00	1.807907e+00	6.456165e-02	9.717190e-02	1.412365e-01	2.981494e-01	-2.063284e+00	1.048460e+00	5.000000e-02
R	1.922240e+01	7.928269e+00	2.310652e+00	4.228911e+00	1.930891e+01	7.673748e+00	1.919390e+01	7.863973e+00	2.229486e+00	4.360172e+00	2.154913e-01	6.425151e-02	9.684618e-02	1.406723e-01	2.967152e-01	-2.100358e+00	1.007500e+00	5.000000e-02
L	1.930126e+01	8.147988e+00	2.171749e+00	4.283647e+00	1.913202e+01	8.128449e+00	1.930276e+01	8.083295e+00	2.122663e+00	4.408416e+00	1.542376e+00	6.387265e-02	9.653018e-02	1.399437e-01	2.952749e-01	-2.136459e+00	9.648800e-01	5.000000e-02
R	1.940033e+01	8.357796e+00	2.094010e+00	4.330804e+00	1.902392e+01	8.171935e+00	1.940622e+01	8.304973e+00	2.014087e+00	4.454448e+00	2.235253e+00	6.350339e-02	9.613621e-02	1.393944e-01	2.938558e-01	-2.171521e+00	9.206486e-01	5.000000e-02
L	1.948981e+01	8.513103e+00	2.011901e+00	4.265907e+00	1.934701e+01	8.307412e+00	1.950422e+01	8.528895e+00	1.903813e+00	4.498188e+00	3.436544e+00	6.315626e-02	9.559710e-02	1.390746e-01	2.932215e-01	-2.205479e+00	8.747959e-01	5.000000e-02
R	1.958260e+01	8.718607e+00	1.909465e+00	4.278658e+00	1.968429e+01	8.359019e+00	1.959665e+01	8.754945e+00	1.791900e+00	4.539558e+00	5.104332e-01	6.281425e-02	9.513128e-02	1.388489e-01	2.928743e-01	-2.238259e+00	8.273983e-01	5.000000e-02
L	1.973553e+01	8.904517e+00	1.924950e+00	4.269677e+00	2.000388e+01	8.890601e+00	1.968345e+01	8.983001e+00	1.678411e+00	4.578481e+00	3.939563e+00	6.270384e-02	9.496044e-02	1.405181e-01	2.930581e-01	-2.269781e+00	7.784653e-01	5.000000e-02
R	1.981271e+01	9.121320e+00	1.793050e+00	4.286750e+00	1.960609e+01	9.486593e+00	1.976453e+01	9.212939e+00	1.563411e+00	4.614883e+00	9.689369e-01	6.256099e-02	9.492397e-02	1.418163e-01	2.934708e-01	-2.300000e+00	7.280350e-01	5.000000e-02
L	1.993876e+01	9.354197e+00	1.762509e+00	4.351800e+00	2.015738e+01	9.459486e+00	1.983982e+01	9.444632e+00	1.446969e+00	4.648694e+00	3.075605e+00	6.307485e-02	9.487579e-02	1.448619e-01	2.935087e-01	-2.328839e+00	6.762218e-01	5.000000e-02
R	1.999067e+01	9.567163e+00	1.587354e+00	4.335536e+00	1.961626e+01	9.766063e+00	1.990925e+01	9.677948e+00	1.329157e+00	4.679842e+00	2.673622e+00	6.330290e-02	9.506304e-02	1.465657e-01	2.941080e-01	-2.356241e+00	6.229591e-01	5.000000e-02
L	2.007672e+01	9.811548e+00	1.504522e+00	4.411468e+00	2.015731e+01	9.908763e+00	1.997276e+01	9.912751e+00	1.210049e+00	4.708261e+00	8.573649e-01	6.387792e-02	9.513117e-02	1.489394e-01	2.941370e-01	-2.382159e+00	5.683803e-01	5.000000e-02
R	2.013877e+01	1.005914e+01	1.402311e+00	4.496011e+00	1.919106e+01	1.154927e+01	2.003028e+01	1.014890e+01	1.089723e+00	4.733887e+00	7.258121e+00	6.451510e-02	9.507560e-02	1.516127e-01	2.935952e-01	-2.406521e+00	5.125236e-01	5.000000e-02
L	2.018865e+01	1.033388e+01	1.262707e+00	4.603799e+00	2.016601e+01	1.046872e+01	2.008175e+01	1.038627e+01	9.682592e-01	4.756658e+00	1.144703e+00	6.510511e-02	9.472653e-02	1.538086e-01	2.924667e-01	-2.429275e+00	4.554176e-01	5.000000e-02
